transit_timestamp,station_complex,borough,fare_class_category,ridership,transfers
4/30/25 13:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,670,17
4/30/25 13:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,32,0
4/30/25 13:00,23 St-Baruch College (6),Manhattan,OMNY - Students,41,0
4/30/25 13:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,15,1
4/30/25 13:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,84,6
4/30/25 13:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,88,0
4/30/25 13:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,21,1
4/30/25 13:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,54,6
4/30/25 13:00,23 St-Baruch College (6),Manhattan,OMNY - Other,6,0
4/30/25 13:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,41,0
4/30/25 12:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,83,5
4/30/25 12:00,23 St-Baruch College (6),Manhattan,OMNY - Other,4,0
4/30/25 12:00,23 St-Baruch College (6),Manhattan,OMNY - Seniors & Disability,60,10
4/30/25 12:00,23 St-Baruch College (6),Manhattan,Metrocard - Seniors & Disability,18,2
4/30/25 12:00,23 St-Baruch College (6),Manhattan,OMNY - Fair Fare,11,1
4/30/25 12:00,23 St-Baruch College (6),Manhattan,Metrocard - Other,24,0
4/30/25 12:00,23 St-Baruch College (6),Manhattan,OMNY - Students,60,0
4/30/25 12:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 7-Day,54,0
4/30/25 12:00,23 St-Baruch College (6),Manhattan,Metrocard - Fair Fare,38,1
4/30/25 12:00,23 St-Baruch College (6),Manhattan,Metrocard - Unlimited 30-Day,66,0
4/30/25 12:00,23 St-Baruch College (6),Manhattan,OMNY - Full Fare,679,12
4/30/25 11:00,23 St-Baruch College (6),Manhattan,Metrocard - Full Fare,80,3
4/30/25 11:00,23 St-Baruch College (6),Manhattan,OMNY - Other,7,0
